Transcript	Gene	log2fc	pvalue	FDR
XM_078045734.1	Slc22a11	1.1818735967865677	1.649176569370479e-50	9.968154787978854e-49
XM_078046005.1	LOC144377030	1.8754464491867744	2.243625853498899e-50	1.3511704455688076e-48
XM_040272060.2	Fam53c	1.1877365016497434	2.444783873151543e-50	1.4669592251226767e-48
XM_021735334.3	Rnf103	1.4874839258561525	4.83666096306032e-50	2.891657338820954e-48
XM_040270653.2	Rnf103	1.4882405663852587	7.647887098193175e-50	4.5558767150644615e-48
XM_078037710.1;XM_078037711.1	LOC101975902	1.1570643124206248	8.170542542017505e-50	4.8497166361809654e-48
XM_078024237.1	Eef2k	1.4168810356495551	8.956178231711477e-50	5.296985555608282e-48
XM_005335262.5	Hoga1	1.0558562578241053	2.3210927354730495e-49	1.36300182306195e-47
XM_078031097.1	Hoga1	1.0558562578241053	2.3210927354730495e-49	1.36300182306195e-47
XM_078045735.1	Slc22a11	1.1668187220233155	4.3426141727834135e-49	2.5410452647198264e-47
XM_013365859.4;XM_005341670.5	LOC101975014	1.6141130528842682	9.69220308933042e-49	5.651273610496157e-47
XM_005323204.4	Rps3	1.1639287532984388	1.0157897574497037e-48	5.901953094252662e-47
XM_005323377.5	Tsc22d3	0.7931102549645479	1.564965986488675e-48	9.060878506333202e-47
XM_078021397.1	Slc4a4	1.021919206151056	3.056685978784334e-48	1.7635795572000103e-46
XM_005325006.4	Krt18	1.250679417499465	4.473709064457483e-48	2.57214889451613e-46
XM_078045733.1	Slc22a11	1.1523247681778055	4.811553979398489e-48	2.7567865352102245e-46
XM_021726258.3	Krt18	1.2505127783334178	4.9073956996029995e-48	2.8019701190016987e-46
XM_078045731.1	Slc22a11	1.1507460697415401	6.4683771353497e-48	3.680506590013979e-46
